auction_id,auction_index,solutions,max_trades_in_solution,max_trades_solution_uid,max_pairs_in_solution,max_pairs_solution_uid
12310225,0,5,1,0,1,0
12310233,1,2,1,0,1,0
12310234,2,3,1,0,1,0
12310235,3,1,1,0,1,0
12310237,4,2,1,0,1,0
12310241,5,15,1,0,1,0
12310245,6,17,2,0,2,0
12310247,7,1,1,0,1,0
12310248,8,15,2,15,2,15
12310249,9,6,1,0,1,0
12310250,10,7,1,0,1,0
12310251,11,1,1,0,1,0
12310252,12,12,1,0,1,0
12310253,13,13,2,0,2,0
12310256,14,10,2,9,2,9
12310260,15,5,1,0,1,0
12310265,16,10,1,0,1,0
12310266,17,14,2,13,2,13
12310268,18,24,4,21,3,21
12310274,19,1,1,0,1,0
12310277,20,7,1,0,1,0
12310279,21,14,1,0,1,0
12310280,22,5,1,0,1,0
12310282,23,3,1,0,1,0
12310283,24,8,1,0,1,0
12310285,25,4,1,0,1,0
12310286,26,16,2,15,2,15
12310288,27,3,1,0,1,0
12310290,28,4,1,0,1,0
12310293,29,6,1,0,1,0
12310294,30,6,1,0,1,0
12310297,31,6,1,0,1,0
12310298,32,104,5,103,5,103
12310300,33,8,1,0,1,0
12310302,34,4,1,0,1,0
12310307,35,1,1,0,1,0
12310309,36,4,1,0,1,0
12310310,37,11,2,10,2,10
12310311,38,6,2,6,2,6
12310316,39,5,1,0,1,0
12310318,40,11,1,0,1,0
12310323,41,1,1,0,1,0
12310324,42,5,1,0,1,0
12310325,43,1,1,0,1,0
12310326,44,3,1,0,1,0
12310327,45,3,1,0,1,0
12310330,46,5,1,0,1,0
12310336,47,8,1,0,1,0
12310337,48,6,1,0,1,0
12310339,49,10,1,0,1,0
12310343,50,22,2,19,2,19
12310346,51,8,1,0,1,0
12310349,52,16,1,0,1,0
12310353,53,2,1,0,1,0
12310356,54,1,1,0,1,0
12310359,55,5,1,0,1,0
12310365,56,9,1,0,1,0
12310366,57,10,1,0,1,0
12310372,58,3,1,0,1,0
12310376,59,19,2,1,2,1
12310383,60,13,1,0,1,0
12310384,61,3,1,0,1,0
12310392,62,1,1,0,1,0
12310397,63,1,1,0,1,0
12310403,64,6,1,0,1,0
12310405,65,5,1,0,1,0
12310410,66,6,1,0,1,0
12310412,67,3,1,0,1,0
12310414,68,9,1,0,1,0
12310415,69,3,2,0,1,0
12310416,70,1,1,0,1,0
12310417,71,29,2,25,2,25
12310418,72,1,1,0,1,0
12310419,73,3,1,0,1,0
12310420,74,16,1,0,1,0
12310424,75,5,1,0,1,0
12310425,76,5,1,0,1,0
12310426,77,1,1,0,1,0
12310428,78,12,1,0,1,0
12310430,79,8,1,0,1,0
12310432,80,4,1,0,1,0
12310438,81,2,1,0,1,0
12310440,82,6,1,0,1,0
12310448,83,1,1,0,1,0
12310451,84,4,1,0,1,0
12310453,85,26,2,21,2,21
12310468,86,1,1,0,1,0
12310469,87,8,1,0,1,0
12310472,88,1,1,0,1,0
12310475,89,5,1,0,1,0
12310480,90,7,1,0,1,0
12310482,91,12,1,0,1,0
12310487,92,1,1,0,1,0
12310492,93,1,1,0,1,0
12310493,94,1,1,0,1,0
12310494,95,1,1,0,1,0
12310495,96,9,1,0,1,0
12310496,97,8,1,0,1,0
12310497,98,5,1,0,1,0
12310499,99,4,1,0,1,0
12310503,100,18,1,0,1,0
12310508,101,1,1,0,1,0
12310509,102,4,1,0,1,0
12310510,103,3,1,0,1,0
12310511,104,5,1,0,1,0
12310512,105,4,1,0,1,0
12310514,106,7,2,6,2,6
12310515,107,2,1,0,1,0
12310516,108,7,1,0,1,0
12310517,109,8,2,7,2,7
12310520,110,6,1,0,1,0
12310523,111,5,1,0,1,0
12310524,112,1,1,0,1,0
12310526,113,1,1,0,1,0
12310527,114,4,1,0,1,0
12310530,115,3,1,0,1,0
12310532,116,4,1,0,1,0
12310533,117,40,2,35,2,35
12310534,118,12,1,0,1,0
12310535,119,1,1,0,1,0
12310536,120,1,1,0,1,0
12310537,121,1,1,0,1,0
12310539,122,1,2,0,1,0
12310541,123,34,2,27,2,27
12310542,124,1,1,0,1,0
12310543,125,1,1,0,1,0
12310545,126,1,1,0,1,0
12310549,127,1,1,0,1,0
12310556,128,10,1,0,1,0
12310561,129,14,2,13,2,13
12310563,130,4,1,0,1,0
12310564,131,29,2,22,2,22
12310565,132,14,2,11,2,11
12310566,133,8,1,0,1,0
12310567,134,1,1,0,1,0
12310568,135,3,1,0,1,0
12310571,136,15,2,0,2,0
12310572,137,3,1,0,1,0
12310573,138,5,1,0,1,0
12310578,139,9,1,0,1,0
12310581,140,4,1,0,1,0
12310587,141,3,1,0,1,0
12310588,142,20,2,17,2,17
12310591,143,7,1,0,1,0
12310595,144,4,1,0,1,0
12310597,145,13,3,9,3,9
12310604,146,14,2,13,2,13
12310605,147,8,1,0,1,0
12310607,148,4,1,0,1,0
12310608,149,12,1,0,1,0
12310609,150,12,2,10,2,10
12310611,151,8,1,0,1,0
12310613,152,1,1,0,1,0
12310614,153,16,2,12,2,12
12310615,154,3,1,0,1,0
12310616,155,2,1,0,1,0
12310618,156,1,1,0,1,0
12310619,157,7,1,0,1,0
12310623,158,8,1,0,1,0
12310626,159,10,1,0,1,0
12310633,160,12,2,10,2,10
12310634,161,1,1,0,1,0
12310635,162,26,2,23,2,23
12310636,163,4,1,0,1,0
12310637,164,9,1,0,1,0
12310639,165,4,1,0,1,0
12310640,166,13,1,0,1,0
12310641,167,1,1,0,1,0
12310643,168,10,1,0,1,0
12310644,169,13,1,0,1,0
12310645,170,19,2,15,2,15
12310647,171,15,4,14,4,14
12310649,172,12,1,0,1,0
12310650,173,9,1,0,1,0
12310652,174,5,2,4,2,4
12310653,175,7,1,0,1,0
12310655,176,5,1,0,1,0
12310656,177,5,1,0,1,0
12310658,178,13,1,0,1,0
12310660,179,4,2,0,2,0
12310663,180,4,1,0,1,0
12310664,181,1,1,0,1,0
12310665,182,5,1,0,1,0
12310667,183,9,1,0,1,0
12310669,184,12,1,0,1,0
12310684,185,2,1,0,1,0
12310685,186,1,1,0,1,0
12310686,187,6,1,0,1,0
12310687,188,28,3,20,3,20
12310691,189,1,1,0,1,0
12310692,190,16,2,15,2,15
12310693,191,1,1,0,1,0
12310695,192,3,1,0,1,0
12310698,193,2,1,0,1,0
12310700,194,18,2,17,2,17
12310701,195,2,2,0,2,0
12310702,196,3,1,0,1,0
12310703,197,7,1,0,1,0
12310704,198,11,2,10,2,10
12310705,199,2,1,0,1,0
12310706,200,5,1,0,1,0
12310707,201,6,1,0,1,0
12310709,202,1,1,0,1,0
12310710,203,8,1,0,1,0
12310711,204,3,1,0,1,0
12310712,205,2,2,0,2,0
12310713,206,5,1,0,1,0
12310714,207,32,4,27,4,27
12310716,208,4,1,0,1,0
12310718,209,3,1,0,1,0
12310719,210,1,1,0,1,0
12310720,211,5,1,0,1,0
12310721,212,5,1,0,1,0
12310722,213,2,1,0,1,0
12310724,214,27,2,0,2,0
12310726,215,4,1,0,1,0
12310727,216,1,1,0,1,0
12310728,217,2,1,0,1,0
12310730,218,14,2,12,2,12
12310732,219,6,1,0,1,0
12310734,220,3,1,0,1,0
12310735,221,9,2,8,2,8
12310736,222,8,1,0,1,0
12310742,223,1,1,1,1,1
12310744,224,4,1,0,1,0
12310745,225,11,1,0,1,0
12310748,226,19,2,18,2,18
12310749,227,11,1,0,1,0
12310750,228,4,1,0,1,0
12310751,229,20,2,17,2,17
12310752,230,5,1,0,1,0
12310760,231,7,1,0,1,0
12310761,232,1,1,0,1,0
12310762,233,1,1,0,1,0
12310766,234,8,1,0,1,0
12310767,235,1,1,0,1,0
12310770,236,6,1,0,1,0
12310773,237,2,1,0,1,0
12310777,238,9,1,0,1,0
12310780,239,6,1,0,1,0
12310783,240,3,1,0,1,0
12310784,241,4,1,0,1,0
12310788,242,4,1,0,1,0
12310790,243,3,1,0,1,0
12310794,244,5,1,0,1,0
12310795,245,9,2,6,2,6
12310801,246,1,1,0,1,0
12310809,247,4,2,3,2,3
12310810,248,6,1,0,1,0
12310812,249,7,2,5,2,5
12310813,250,23,2,16,2,16
12310815,251,10,1,0,1,0
12310818,252,19,2,16,2,16
12310820,253,19,2,14,2,14
12310821,254,1,1,0,1,0
12310822,255,4,1,0,1,0
12310823,256,14,2,12,2,12
12310824,257,1,1,0,1,0
12310826,258,2,1,0,1,0
12310829,259,4,1,0,1,0
12310833,260,13,1,0,1,0
12310836,261,6,1,0,1,0
12310837,262,2,1,0,1,0
12310839,263,18,2,16,2,16
12310840,264,2,1,0,1,0
12310843,265,1,1,0,1,0
12310845,266,14,2,13,2,13
12310849,267,1,1,0,1,0
12310850,268,6,1,0,1,0
12310852,269,7,1,0,1,0
12310853,270,1,1,0,1,0
12310854,271,12,1,0,1,0
12310855,272,9,1,0,1,0
12310858,273,1,1,0,1,0
12310860,274,8,1,0,1,0
12310864,275,6,1,0,1,0
12310865,276,5,1,0,1,0
12310867,277,11,1,0,1,0
12310868,278,1,1,0,1,0
12310869,279,5,1,0,1,0
12310871,280,6,1,0,1,0
12310874,281,8,1,0,1,0
12310875,282,1,1,0,1,0
12310876,283,3,1,0,1,0
12310878,284,5,1,0,1,0
12310880,285,15,1,0,1,0
12310882,286,9,1,0,1,0
12310884,287,6,1,0,1,0
12310887,288,1,1,0,1,0
12310890,289,5,1,0,1,0
12310892,290,8,1,0,1,0
12310894,291,2,1,0,1,0
12310898,292,2,1,0,1,0
12310900,293,5,1,0,1,0
12310907,294,8,1,0,1,0
12310908,295,10,1,0,1,0
12310912,296,1,1,0,1,0
12310913,297,1,1,0,1,0
12310914,298,5,1,0,1,0
12310916,299,1,1,0,1,0
12310917,300,8,1,0,1,0
12310923,301,4,1,0,1,0
12310925,302,30,3,24,3,24
12310926,303,2,1,0,1,0
12310929,304,10,1,0,1,0
12310932,305,1,1,0,1,0
12310936,306,7,1,0,1,0
12310938,307,2,1,0,1,0
12310940,308,9,1,0,1,0
12310943,309,10,1,0,1,0
12310944,310,1,1,0,1,0
12310945,311,1,1,0,1,0
12310947,312,5,1,0,1,0
12310952,313,3,1,0,1,0
12310955,314,8,1,0,1,0
12310956,315,9,1,0,1,0
12310958,316,2,1,0,1,0
12310963,317,8,1,0,1,0
12310966,318,8,1,0,1,0
12310967,319,1,1,0,1,0
12310968,320,19,1,0,1,0
12310974,321,16,2,15,2,15
12310975,322,1,1,0,1,0
12310981,323,8,1,0,1,0
12310984,324,1,1,0,1,0
12310996,325,4,1,0,1,0
12311001,326,1,1,0,1,0
12311003,327,6,1,0,1,0
12311004,328,6,1,0,1,0
12311006,329,9,1,0,1,0
12311008,330,4,1,0,1,0
12311009,331,4,1,0,1,0
12311010,332,8,1,0,1,0
12311013,333,7,1,0,1,0
12311014,334,1,1,0,1,0
12311016,335,6,3,0,3,0
12311019,336,7,1,0,1,0
12311021,337,8,1,0,1,0
12311023,338,5,1,0,1,0
12311026,339,12,1,0,1,0
12311031,340,3,1,0,1,0
12311037,341,10,1,0,1,0
12311038,342,14,1,0,1,0
12311039,343,4,1,0,1,0
12311040,344,1,1,0,1,0
12311041,345,1,2,0,1,0
12311043,346,8,1,0,1,0
12311045,347,9,1,0,1,0
12311048,348,2,1,0,1,0
12311049,349,5,1,0,1,0
12311054,350,20,2,18,2,18
12311056,351,17,1,0,1,0
12311057,352,8,1,0,1,0
12311059,353,1,1,0,1,0
12311061,354,9,1,0,1,0
12311062,355,9,1,0,1,0
12311065,356,12,2,11,2,11
12311068,357,9,1,0,1,0
12311071,358,9,1,0,1,0
12311073,359,12,1,0,1,0
12311074,360,11,1,0,1,0
12311078,361,12,1,0,1,0
12311084,362,8,1,0,1,0
12311087,363,2,1,0,1,0
12311089,364,14,1,0,1,0
12311095,365,2,1,0,1,0
12311096,366,6,1,0,1,0
12311097,367,1,1,0,1,0
12311099,368,6,1,0,1,0
12311100,369,1,1,0,1,0
12311102,370,3,1,0,1,0
12311105,371,2,1,0,1,0
12311108,372,8,1,0,1,0
12311109,373,15,2,13,2,13
12311111,374,1,1,0,1,0
12311113,375,4,1,0,1,0
12311114,376,6,1,0,1,0
12311115,377,1,1,0,1,0
12311116,378,3,1,0,1,0
12311117,379,11,1,0,1,0
12311120,380,4,1,0,1,0
12311121,381,6,1,0,1,0
12311125,382,7,1,0,1,0
12311126,383,7,1,0,1,0
12311127,384,3,1,0,1,0
12311128,385,5,1,0,1,0
12311129,386,1,1,0,1,0
12311132,387,3,1,0,1,0
12311133,388,16,2,0,1,0
12311135,389,1,1,0,1,0
12311139,390,12,1,0,1,0
12311142,391,18,1,0,1,0
12311143,392,7,1,0,1,0
12311150,393,5,1,0,1,0
12311152,394,10,1,0,1,0
12311153,395,27,2,21,2,21
12311155,396,10,1,0,1,0
12311157,397,1,1,0,1,0
12311161,398,7,1,0,1,0
12311163,399,1,1,0,1,0
12311165,400,2,1,0,1,0
12311169,401,28,2,22,2,22
12311171,402,16,1,0,1,0
12311172,403,1,1,0,1,0
12311173,404,12,1,0,1,0
12311177,405,6,1,0,1,0
12311180,406,18,2,0,2,0
12311182,407,7,1,0,1,0
12311188,408,10,1,0,1,0
12311189,409,6,2,5,2,5
12311190,410,21,2,19,2,19
12311192,411,6,1,0,1,0
12311193,412,23,2,19,2,19
12311194,413,2,1,0,1,0
12311195,414,2,1,0,1,0
12311196,415,1,1,0,1,0
12311204,416,24,2,19,2,19
12311208,417,9,2,8,2,8
12311213,418,12,1,0,1,0
12311216,419,3,1,0,1,0
12311219,420,1,1,0,1,0
12311221,421,7,1,0,1,0
12311223,422,1,1,0,1,0
